channel,spend,revenue,impressions,clicks,conversions,ctr,roas
Twitter,1423,7856.75,112963,36563,1189,32.37,5.52
LinkedIn,3814,14015.49,373200,10465,4986,2.8,3.67
Email,3782,13770.93,163733,31352,680,19.15,3.64
Meta,2065,6422.84,50531,43843,3168,86.76,3.11
LinkedIn,1062,2949.15,433007,8686,2351,2.01,2.78
LinkedIn,942,3510.79,267368,27284,4504,10.2,3.73
TikTok,2109,7793.15,253997,6624,4264,2.61,3.7
Instagram,662,1450.21,497992,19443,1559,3.9,2.19
Email,1974,8864.17,221505,4927,1701,2.22,4.49
Snapchat,1192,4854.34,462175,34367,4026,7.44,4.07
YouTube,2554,11888.53,147914,29948,4324,20.25,4.65
Meta,1368,3440.68,461818,2206,4527,0.48,2.52
Twitter,843,2891.2,239612,8323,3295,3.47,3.43
Pinterest,2398,7998.32,354089,38874,3804,10.98,3.34
Twitter,3962,9549.28,266761,15504,2970,5.81,2.41
YouTube,1135,4515.55,98487,16448,1407,16.7,3.98
Email,3994,21747.22,101461,6927,392,6.83,5.44
Meta,2742,8262.75,69508,9730,2463,14.0,3.01
Instagram,742,3795.81,128685,24096,2644,18.72,5.12
Snapchat,4496,10180.79,295960,46693,1119,15.78,2.26
Twitter,2264,10355.0,25068,35188,846,140.37,4.57
Meta,1705,5858.4,419377,22319,165,5.32,3.44
TikTok,2995,7022.47,177647,10693,3318,6.02,2.34
TikTok,2275,11205.5,261872,10375,3493,3.96,4.93
Google,4632,18148.18,434581,48408,4986,11.14,3.92
Google,3110,18588.75,125621,32609,4001,25.96,5.98
Email,3222,8554.51,30594,16899,2947,55.24,2.66
TikTok,2798,10846.06,332523,14785,3166,4.45,3.88
Email,3066,17363.84,14456,4697,2321,32.49,5.66
Pinterest,1291,7643.0,161381,21369,841,13.24,5.92
YouTube,757,2555.76,198445,30736,2649,15.49,3.38
Instagram,2865,11646.13,301035,46825,3656,15.55,4.06
Email,2062,5851.18,435799,30547,1245,7.01,2.84
LinkedIn,4316,16505.1,287652,49754,2610,17.3,3.82
Email,1891,7832.38,93442,31522,523,33.73,4.14
Email,1349,2808.33,276862,14658,3108,5.29,2.08
LinkedIn,3896,18222.19,225277,46083,737,20.46,4.68
YouTube,4625,26054.65,323277,47274,4273,14.62,5.63
Email,4624,9289.04,181754,21526,4099,11.84,2.01
Meta,2828,8142.18,59597,40058,1243,67.21,2.88
Snapchat,1607,6573.95,92450,49288,2204,53.31,4.09
Instagram,1774,3633.54,105791,26497,2028,25.05,2.05
LinkedIn,3196,8953.43,188325,29377,2247,15.6,2.8
Email,2544,7460.97,218592,31414,2223,14.37,2.93
Pinterest,2176,6628.35,482988,39994,4001,8.28,3.05
Twitter,4733,24869.88,75905,33968,3448,44.75,5.25
Pinterest,4453,9680.13,446512,29159,99,6.53,2.17
Google,906,2266.31,332389,28481,3289,8.57,2.5
Instagram,3642,12679.0,272454,41089,2767,15.08,3.48
Twitter,1101,2763.98,114041,31469,798,27.59,2.51
YouTube,558,1958.04,216002,45391,2357,21.01,3.51
LinkedIn,1236,5634.67,392001,37504,1468,9.57,4.56
Meta,591,3263.16,281834,3068,2834,1.09,5.52
Twitter,2921,6182.07,364396,43099,2279,11.83,2.12
YouTube,3699,10763.57,264434,3646,4908,1.38,2.91
Snapchat,3253,7545.1,91620,31771,2874,34.68,2.32
Snapchat,2962,13112.98,77888,14959,1862,19.21,4.43
YouTube,1168,5535.11,450648,17880,692,3.97,4.74
YouTube,2550,9339.09,218556,37838,401,17.31,3.66
TikTok,3896,18594.59,233800,17065,1710,7.3,4.77
Meta,1817,9282.64,59824,3048,2531,5.09,5.11
Twitter,3083,6730.17,106118,1757,2793,1.66,2.18
TikTok,521,2343.62,171695,23913,655,13.93,4.5
Google,3401,19750.84,442771,19641,4194,4.44,5.81
Snapchat,4110,12798.22,285272,3182,4271,1.12,3.11
Instagram,1595,6215.1,369733,34943,4593,9.45,3.9
Pinterest,1572,6375.73,36846,25233,211,68.48,4.06
Google,1432,4119.21,405652,27095,201,6.68,2.88
YouTube,4071,15252.38,22144,17877,386,80.73,3.75
Pinterest,675,1717.13,191352,39303,3765,20.54,2.54
Snapchat,4850,19266.35,457608,23908,2602,5.22,3.97
TikTok,4359,16568.66,437928,37917,495,8.66,3.8
Pinterest,4819,15797.53,409807,5450,3543,1.33,3.28
Snapchat,3468,12685.04,165168,32247,2430,19.52,3.66
LinkedIn,520,1215.95,297143,6445,1779,2.17,2.34
Email,507,2972.29,345459,47236,811,13.67,5.86
Meta,4808,15252.31,338777,11626,1714,3.43,3.17
Instagram,2007,6154.4,118297,33851,3352,28.62,3.07
Email,3316,7963.71,159328,15265,1123,9.58,2.4
Meta,860,3227.75,192337,5082,1540,2.64,3.75
Pinterest,3331,9049.4,269089,29981,2720,11.14,2.72
Email,4223,23012.11,361705,4978,148,1.38,5.45
Pinterest,4663,16018.71,251642,29490,1373,11.72,3.44
Email,1221,7053.07,313885,6057,4645,1.93,5.78
TikTok,3002,16025.5,447706,24982,4624,5.58,5.34
Twitter,2313,11826.33,40604,48672,2198,119.87,5.11
Instagram,1145,4595.82,54867,34679,3481,63.21,4.01
Pinterest,4355,22920.45,452317,16202,4282,3.58,5.26
YouTube,2840,15591.7,467999,21599,2375,4.62,5.49
TikTok,4442,18815.19,343842,17046,4285,4.96,4.24
Email,2104,11634.7,37453,11310,1033,30.2,5.53
Email,1709,10053.87,313970,13389,166,4.26,5.88
Email,4118,17403.05,174444,6227,4342,3.57,4.23
Snapchat,1671,7440.93,475969,6677,4818,1.4,4.45
Twitter,2188,6356.12,417157,13878,2165,3.33,2.9
YouTube,1894,8635.99,102469,35162,4595,34.31,4.56
Google,1376,5171.23,301448,24560,1063,8.15,3.76
Meta,4939,25411.46,114993,31646,3943,27.52,5.15
TikTok,4069,14749.29,154179,46195,3552,29.96,3.62
Meta,3014,10389.27,61331,6956,2610,11.34,3.45
Twitter,4318,14734.54,195838,36057,2187,18.41,3.41
Twitter,3899,8610.82,220198,9787,2439,4.44,2.21
Email,4972,24173.63,255813,41192,3404,16.1,4.86
TikTok,3524,14729.05,64959,2278,621,3.51,4.18
YouTube,4870,11273.07,324661,13082,2039,4.03,2.31
TikTok,1132,5294.63,132541,20937,305,15.8,4.68
Snapchat,4065,21880.64,36902,40552,2233,109.89,5.38
Instagram,2888,6473.25,394258,17616,869,4.47,2.24
YouTube,4609,23412.71,262047,38078,214,14.53,5.08
Meta,3800,19133.78,360917,39493,2479,10.94,5.04
TikTok,4927,17628.59,225718,38510,4536,17.06,3.58
Pinterest,4656,27704.4,55669,14681,1292,26.37,5.95
Email,4347,17434.81,334104,25869,3618,7.74,4.01
Snapchat,2497,10632.82,255518,21380,2966,8.37,4.26
Snapchat,1270,5460.14,465334,8309,4595,1.79,4.3
Google,4784,23494.58,163198,48183,365,29.52,4.91
Meta,2967,15618.23,383506,48584,429,12.67,5.26
Twitter,3201,10786.8,161206,26538,3700,16.46,3.37
Google,4737,15104.95,208079,47243,1746,22.7,3.19
Meta,3009,7476.02,179864,25047,1230,13.93,2.48
Email,2644,11569.85,430043,13941,2815,3.24,4.38
Google,3160,10053.88,380798,7035,297,1.85,3.18
Email,3895,15456.09,389567,6361,4645,1.63,3.97
LinkedIn,4166,14047.11,272183,43582,4406,16.01,3.37
Snapchat,4314,25435.27,71072,38850,3003,54.66,5.9
Twitter,2988,7590.34,274651,37244,2852,13.56,2.54
Instagram,1050,3718.31,410044,41554,77,10.13,3.54
Pinterest,3572,16714.02,385315,26271,2574,6.82,4.68
Pinterest,4281,11359.35,232103,22559,1022,9.72,2.65
TikTok,869,4908.92,416519,19502,582,4.68,5.65
Instagram,2056,7858.51,333713,12342,3092,3.7,3.82
Instagram,2171,9955.23,284990,19351,4618,6.79,4.59
Twitter,2303,13028.67,135489,8089,2322,5.97,5.66
YouTube,1450,4281.34,194431,1052,1410,0.54,2.95
TikTok,1119,4907.97,202245,13481,443,6.67,4.39
Instagram,2782,8058.53,497162,40503,3876,8.15,2.9
Twitter,3677,19777.55,147759,22726,342,15.38,5.38
Meta,3072,16135.56,76472,48861,2641,63.89,5.25
Twitter,892,3621.33,163365,31312,4339,19.17,4.06
Email,3653,14332.01,372154,9617,1441,2.58,3.92
Snapchat,1861,4384.43,116689,15599,4525,13.37,2.36
Google,1468,6749.17,187702,24985,175,13.31,4.6
Google,1850,4603.19,172790,31397,4003,18.17,2.49
Twitter,2706,9594.56,302802,8845,3704,2.92,3.55
Pinterest,4490,12026.23,258998,47306,2030,18.27,2.68
Pinterest,2248,11815.05,443881,10817,2369,2.44,5.26
Snapchat,978,3058.7,41372,28210,160,68.19,3.13
TikTok,608,2389.77,273447,6559,1725,2.4,3.93
Snapchat,4513,13302.6,399475,32730,4449,8.19,2.95
Instagram,3223,6653.06,271456,9779,3762,3.6,2.06
Google,2301,8462.34,45511,15430,131,33.9,3.68
LinkedIn,1568,4981.72,366098,4859,977,1.33,3.18
Email,3199,15928.4,473143,45841,2535,9.69,4.98
Email,4051,9039.1,94754,43964,3377,46.4,2.23
Snapchat,3406,19285.39,297844,23591,184,7.92,5.66
Pinterest,4766,13048.42,203099,37937,1880,18.68,2.74
YouTube,4517,10788.98,125260,25793,2880,20.59,2.39
LinkedIn,711,3666.85,397630,41817,2944,10.52,5.16
Twitter,1976,5052.22,358558,22274,2982,6.21,2.56
Meta,2611,12610.21,45284,32314,1981,71.36,4.83
YouTube,2549,14267.7,244389,2986,3916,1.22,5.6
Email,1838,9729.42,164673,22455,1975,13.64,5.29
Snapchat,1804,6558.92,196783,33382,1311,16.96,3.64
LinkedIn,3177,18105.35,231691,42943,339,18.53,5.7
Meta,4935,25003.21,354646,11885,3192,3.35,5.07
Instagram,2017,6585.86,280581,48184,1278,17.17,3.27
Twitter,1155,3943.47,368101,3972,1698,1.08,3.41
TikTok,2537,10610.61,462559,7865,2244,1.7,4.18
Meta,4580,23965.06,373074,31792,1739,8.52,5.23
Meta,4842,25270.11,306927,4154,2792,1.35,5.22
Twitter,1817,6240.64,311286,49692,1515,15.96,3.43
Meta,2022,11091.61,99623,16156,3426,16.22,5.49
Google,3313,10052.95,120448,27827,671,23.1,3.03
YouTube,1685,5849.78,118521,28987,4427,24.46,3.47
Meta,3048,6700.33,446995,42832,3882,9.58,2.2
Twitter,2127,12583.88,151826,38824,2804,25.57,5.92
Snapchat,3669,20027.78,408609,5937,2497,1.45,5.46
YouTube,1609,6447.86,103578,28065,2800,27.1,4.01
LinkedIn,671,1417.84,210788,36723,2389,17.42,2.11
Snapchat,4333,14417.68,262942,25968,2765,9.88,3.33
Instagram,3165,7779.02,71852,18856,4131,26.24,2.46
Email,2952,7661.74,52583,1746,4743,3.32,2.6
LinkedIn,3126,9033.23,305558,46784,1318,15.31,2.89
Email,930,2512.73,97379,28308,1241,29.07,2.7
Meta,3613,10899.31,386363,39585,1156,10.25,3.02
Twitter,1962,9371.78,212857,43309,542,20.35,4.78
Snapchat,3189,13314.29,313648,38930,754,12.41,4.18
Pinterest,1122,4029.0,124019,22747,2346,18.34,3.59
TikTok,947,3158.06,18185,46068,2921,253.33,3.33
LinkedIn,632,1668.46,451158,41466,4502,9.19,2.64
Meta,4569,9202.27,275107,13532,1633,4.92,2.01
Snapchat,685,2310.21,253224,29865,4106,11.79,3.37
Meta,4006,10211.59,131382,1335,1473,1.02,2.55
Google,631,1406.9,377543,8222,2472,2.18,2.23
Twitter,1619,8502.09,176116,39174,1197,22.24,5.25
YouTube,1781,10400.67,74375,3245,2253,4.36,5.84
Email,4511,9268.43,406959,3344,1378,0.82,2.05
Meta,4449,14549.01,57452,6710,373,11.68,3.27
TikTok,4352,20048.21,337735,26906,4223,7.97,4.61
Meta,1945,5413.13,173578,12739,1491,7.34,2.78
Google,1245,3172.05,454057,36408,352,8.02,2.55
LinkedIn,4223,19641.7,130415,38225,984,29.31,4.65
Instagram,4350,22950.43,242312,28712,3000,11.85,5.28
Pinterest,2605,10578.32,326817,27652,2503,8.46,4.06
YouTube,3309,17654.89,159717,33705,3967,21.1,5.34
Twitter,3696,21954.85,338560,19240,1557,5.68,5.94
YouTube,2148,10802.69,118626,23175,1235,19.54,5.03
Instagram,3925,19464.91,261636,3101,191,1.19,4.96
YouTube,1559,6249.48,300104,31014,4989,10.33,4.01
Snapchat,871,2210.82,312716,23641,887,7.56,2.54
Pinterest,1436,3598.16,254829,25906,2909,10.17,2.51
Twitter,4085,19165.29,120642,32812,2130,27.2,4.69
Pinterest,1699,5474.91,186868,43338,68,23.19,3.22
Snapchat,965,5345.31,418774,11609,199,2.77,5.54
LinkedIn,1355,3853.85,21575,38691,325,179.33,2.84
Instagram,4290,14233.45,17659,16277,4591,92.17,3.32
Pinterest,505,1777.33,434845,24325,2211,5.59,3.52
Twitter,1715,7281.17,186073,18402,3916,9.89,4.25
TikTok,3539,11365.44,237115,20047,4473,8.45,3.21
LinkedIn,3136,14671.88,491774,6525,4050,1.33,4.68
Pinterest,3316,17737.07,328456,29185,2380,8.89,5.35
Email,1624,4358.92,240426,6364,2543,2.65,2.68
Snapchat,1405,5495.25,492773,2716,364,0.55,3.91
Meta,4216,9803.9,254420,36007,3891,14.15,2.33
YouTube,1474,4873.81,304916,23561,4540,7.73,3.31
LinkedIn,1526,3653.2,27420,14893,1884,54.31,2.39
YouTube,4039,12393.6,38520,12943,3299,33.6,3.07
Pinterest,534,2190.28,474828,34359,4881,7.24,4.1
Snapchat,4766,21018.12,13953,5162,4962,37.0,4.41
Snapchat,2830,10279.77,428755,46595,2794,10.87,3.63
Twitter,825,4812.47,282107,13491,69,4.78,5.83
Snapchat,1712,8807.91,61326,28383,881,46.28,5.14
Google,4400,18887.24,24109,10794,946,44.77,4.29
Twitter,3290,10950.55,450658,4170,222,0.93,3.33
Email,3225,16407.79,343863,32900,3264,9.57,5.09
Meta,2267,13590.03,349892,21775,4904,6.22,5.99
Twitter,3969,15680.2,12454,18286,4686,146.83,3.95
Google,1494,7519.98,185639,7985,1488,4.3,5.03
Snapchat,2749,6063.98,394803,9875,1124,2.5,2.21
Email,1016,5361.67,104048,20932,1892,20.12,5.28
Email,2377,12202.87,457077,1562,2033,0.34,5.13
LinkedIn,1827,7132.38,297631,4572,1646,1.54,3.9
Meta,2273,6965.91,485680,3786,2089,0.78,3.06
Twitter,4125,21767.41,499604,31243,94,6.25,5.28
TikTok,1544,6185.76,368723,31708,4193,8.6,4.01
Instagram,2638,13747.4,372176,3271,4596,0.88,5.21
Google,2065,9725.8,34142,3545,4356,10.38,4.71
Instagram,4866,13591.59,378704,45681,4677,12.06,2.79
Instagram,1014,2055.96,209165,39424,442,18.85,2.03
Google,4437,9731.68,320022,15444,99,4.83,2.19
Instagram,1882,10818.09,261824,1388,2902,0.53,5.75
Twitter,3389,8003.52,256633,45497,63,17.73,2.36
Email,4075,23980.2,140509,7789,314,5.54,5.88
Google,2414,12015.66,392046,43139,4986,11.0,4.98
TikTok,929,2810.87,234126,37703,2331,16.1,3.03
YouTube,2627,9643.11,295086,41391,4897,14.03,3.67
Instagram,2889,17142.63,310573,41466,4903,13.35,5.93
Meta,4563,10324.22,354294,47381,1978,13.37,2.26
Meta,907,4289.02,342830,29289,3902,8.54,4.73
TikTok,1364,5796.21,163283,24316,4704,14.89,4.25
Email,1591,7258.55,56538,26855,4242,47.5,4.56
Google,546,3147.77,143562,34548,2887,24.06,5.77
Twitter,1123,4791.24,388482,20331,3323,5.23,4.27
Email,908,3747.88,151640,37789,2641,24.92,4.13
YouTube,4551,22116.4,215178,15712,3582,7.3,4.86
Google,4967,12761.56,300519,17677,1341,5.88,2.57
Pinterest,3595,16081.52,333078,22306,4796,6.7,4.47
Snapchat,1976,6923.87,356338,23606,3435,6.62,3.5
TikTok,3914,22300.66,493005,21919,671,4.45,5.7
Instagram,1964,6601.97,373832,44820,416,11.99,3.36
Pinterest,4695,16480.34,12209,7824,3544,64.08,3.51
Pinterest,2167,8914.88,469991,2568,815,0.55,4.11
TikTok,572,1292.87,443595,9236,94,2.08,2.26
Instagram,3285,14540.44,219362,23552,2482,10.74,4.43
Instagram,1219,3238.53,63910,27227,3046,42.6,2.66
Email,1005,5786.95,223651,44463,2341,19.88,5.76
Instagram,2923,16282.02,147124,17189,528,11.68,5.57
Snapchat,2062,9815.22,357382,3522,4195,0.99,4.76
TikTok,2292,13024.46,171262,4694,4178,2.74,5.68
Pinterest,3949,11786.84,494334,36098,919,7.3,2.98
Snapchat,4306,9100.47,287101,18811,2542,6.55,2.11
Instagram,1749,6759.94,480740,6798,2018,1.41,3.87
LinkedIn,3044,7242.84,236343,47020,2639,19.89,2.38
LinkedIn,1145,2396.97,282752,18493,710,6.54,2.09
Twitter,1725,5105.07,354544,21696,3966,6.12,2.96
Twitter,1830,4209.61,432459,37561,3087,8.69,2.3
TikTok,4146,17657.89,124915,42319,1235,33.88,4.26
Instagram,2196,5326.63,412152,49414,1013,11.99,2.43
YouTube,2057,9345.15,146549,21620,4950,14.75,4.54
Google,2316,12191.03,344024,2649,3883,0.77,5.26
Email,3643,16948.28,357295,45352,618,12.69,4.65
Twitter,2062,6356.12,297543,31378,1136,10.55,3.08
LinkedIn,3123,17161.11,67218,27485,1427,40.89,5.5
Snapchat,3923,23034.09,491092,47719,280,9.72,5.87
Instagram,2533,12047.54,309798,42629,4967,13.76,4.76
TikTok,4042,21422.88,298055,13743,3050,4.61,5.3
Instagram,4248,18748.43,112349,43989,2561,39.15,4.41
Email,1429,7121.78,144796,24603,4788,16.99,4.98
Google,2059,10161.79,318120,48896,3684,15.37,4.94
YouTube,2969,6858.31,490199,36902,4579,7.53,2.31
Google,4736,12027.59,435299,17298,4993,3.97,2.54
YouTube,3797,8058.03,39595,38241,2760,96.58,2.12
Snapchat,3814,7930.78,200907,11550,1344,5.75,2.08
YouTube,4415,21338.68,113346,40840,4797,36.03,4.83
Meta,2318,10324.45,356331,20968,154,5.88,4.45
TikTok,2932,9041.14,179893,8299,3120,4.61,3.08
Email,1104,3490.5,114130,6175,4460,5.41,3.16
Twitter,4098,22377.6,158522,25059,3101,15.81,5.46
Email,1905,9186.41,219306,1873,1679,0.85,4.82
YouTube,2166,6447.09,374665,45794,605,12.22,2.98
Meta,3387,8668.19,240403,49494,3741,20.59,2.56
Snapchat,1312,7756.04,115769,32313,2433,27.91,5.91
Snapchat,1461,4820.89,41133,8315,3617,20.21,3.3
Pinterest,4043,19599.58,345489,38727,3921,11.21,4.85
TikTok,3187,10931.79,416503,36583,4824,8.78,3.43
LinkedIn,1200,6731.88,310777,41233,4211,13.27,5.61
Twitter,4673,11214.31,480997,20618,3929,4.29,2.4
YouTube,3729,13390.83,173004,1781,374,1.03,3.59
Twitter,3010,7884.05,416162,10615,1361,2.55,2.62
Snapchat,972,3978.98,264536,42888,4528,16.21,4.09
Snapchat,3027,10809.37,454646,49934,2231,10.98,3.57
Snapchat,3901,12777.72,289055,19525,1452,6.75,3.28
Pinterest,2269,13001.56,72742,7223,4361,9.93,5.73
YouTube,1476,5216.97,55644,3157,3606,5.67,3.53
Pinterest,1874,11182.07,315515,27634,1678,8.76,5.97
Email,2116,4333.49,66297,7664,4730,11.56,2.05
LinkedIn,3893,20419.85,277498,10587,1022,3.82,5.25
TikTok,3076,14335.79,112493,23873,4929,21.22,4.66
Snapchat,1522,6581.57,440406,40593,2758,9.22,4.32
TikTok,3858,17200.61,451599,41578,4443,9.21,4.46
Twitter,4168,13185.33,330858,23976,4922,7.25,3.16
Meta,1706,8109.25,425126,49626,3853,11.67,4.75
Email,4677,11840.91,272094,9581,2400,3.52,2.53
LinkedIn,4244,24549.56,25686,30891,853,120.26,5.78
Google,1708,4971.14,436541,31491,3754,7.21,2.91
Email,845,4549.13,49636,26308,946,53.0,5.38
Instagram,1821,5475.69,71379,46832,4799,65.61,3.01
Instagram,3435,18504.79,392646,19953,2644,5.08,5.39
Snapchat,3898,10985.6,265777,26900,3084,10.12,2.82
Meta,1615,6912.82,331030,24352,4963,7.36,4.28
TikTok,554,3164.27,320607,8382,4551,2.61,5.71
YouTube,4829,17640.34,432810,35138,938,8.12,3.65
Pinterest,3601,9269.46,194176,8783,710,4.52,2.57
Email,3935,19603.26,434357,9943,1234,2.29,4.98
Google,4402,13137.21,466922,25310,2531,5.42,2.98
TikTok,1788,6049.68,75896,31827,2322,41.94,3.38
Email,3159,6491.29,177859,5423,4225,3.05,2.05
LinkedIn,1952,9648.2,257552,27769,468,10.78,4.94
Meta,2433,12320.76,380365,5369,1063,1.41,5.06
TikTok,2564,9982.14,375580,32873,500,8.75,3.89
Google,4530,17853.67,347141,9605,4466,2.77,3.94
Twitter,4237,15158.7,43155,27433,2059,63.57,3.58
Twitter,3521,9150.08,321611,29122,3431,9.06,2.6
Instagram,2122,5687.96,12857,6667,4629,51.86,2.68
Google,4281,22943.59,360319,1800,1694,0.5,5.36
TikTok,1477,6073.8,490455,9856,3080,2.01,4.11
Email,4372,20270.52,297927,23123,1076,7.76,4.64
Email,4456,18554.82,402198,47812,2010,11.89,4.16
TikTok,2276,13372.01,418920,48739,4669,11.63,5.88
Google,4006,14822.44,408638,17413,2403,4.26,3.7
TikTok,3716,17771.85,48322,12601,2674,26.08,4.78
Email,1810,7316.12,175517,45108,1273,25.7,4.04
Meta,3115,15848.56,444208,13882,2655,3.13,5.09
Snapchat,4895,23009.24,370881,2973,2795,0.8,4.7
Pinterest,1634,8247.21,152237,6809,1752,4.47,5.05
LinkedIn,4329,9757.27,60427,34445,3445,57.0,2.25
Instagram,1043,4265.76,378425,42084,2554,11.12,4.09
Twitter,1823,4110.1,214628,40117,3344,18.69,2.25
Email,4496,13818.27,389318,14728,3037,3.78,3.07
Meta,4912,27795.52,102028,41272,4018,40.45,5.66
Instagram,1292,3066.22,120144,20889,1662,17.39,2.37
Pinterest,1465,8733.69,416358,17577,2322,4.22,5.96
TikTok,4544,14893.02,196230,2817,1236,1.44,3.28
Email,3888,16059.57,169128,18080,2602,10.69,4.13
Snapchat,2099,4980.49,389894,44905,2206,11.52,2.37
Pinterest,1834,10355.02,426872,15380,3967,3.6,5.65
Twitter,2642,6823.96,232617,2322,3965,1.0,2.58
Meta,3562,12440.49,476375,4164,1790,0.87,3.49
Email,4034,20429.48,25001,21850,2311,87.4,5.06
LinkedIn,4079,13606.06,429363,2781,233,0.65,3.34
YouTube,4289,19995.73,214137,45762,4628,21.37,4.66
LinkedIn,3232,12503.71,140436,32180,1019,22.91,3.87
Google,1098,3134.08,203898,42266,4357,20.73,2.85
Pinterest,3972,11582.74,311233,28347,2295,9.11,2.92
Email,904,2593.1,264425,47302,973,17.89,2.87
LinkedIn,3332,15436.67,123511,38224,864,30.95,4.63
YouTube,1593,9032.47,261859,37764,192,14.42,5.67
Google,2277,6542.34,207774,27456,1878,13.21,2.87
Twitter,3387,18312.64,277150,34395,105,12.41,5.41
Google,3150,7296.88,219928,49840,4496,22.66,2.32
YouTube,1773,4714.83,94707,44610,1210,47.1,2.66
YouTube,743,2484.31,300948,6934,2821,2.3,3.34
Twitter,4271,16280.54,24953,49849,4781,199.77,3.81
Google,3668,11679.07,301845,36387,3143,12.05,3.18
Google,3529,18478.16,127873,8414,2911,6.58,5.24
Instagram,1138,2395.76,205101,44558,2576,21.72,2.11
Snapchat,2124,8791.69,149154,6211,2525,4.16,4.14
TikTok,2717,7163.95,221565,27637,1360,12.47,2.64
Snapchat,2429,10531.43,361298,21015,4772,5.82,4.34
YouTube,1710,5176.28,215744,8542,3590,3.96,3.03
Email,2549,6245.15,71562,18363,2616,25.66,2.45
Email,2763,7616.0,44256,41333,4711,93.4,2.76
Twitter,4273,18786.54,179731,48309,1147,26.88,4.4
Meta,598,1612.95,430115,23210,1564,5.4,2.7
Snapchat,1546,5989.81,197423,12888,2467,6.53,3.87
Meta,1807,4994.35,496482,39180,218,7.89,2.76
Email,1433,7983.81,82169,1949,806,2.37,5.57
Meta,3136,7667.86,175221,49723,4246,28.38,2.45
Google,2784,14547.68,472137,22047,2394,4.67,5.23
Meta,4513,11161.45,167154,1226,4105,0.73,2.47
Instagram,4716,15441.04,196964,39172,1164,19.89,3.27
Instagram,707,4047.24,484671,16565,872,3.42,5.72
Meta,731,1523.9,128635,18698,349,14.54,2.08
Snapchat,2201,12605.93,349325,14451,1085,4.14,5.73
Email,751,1586.37,346739,28815,3006,8.31,2.11
Pinterest,4873,9981.39,82264,18775,2485,22.82,2.05
LinkedIn,2329,7375.08,200167,10968,3981,5.48,3.17
YouTube,2967,9325.48,376957,21585,1986,5.73,3.14
LinkedIn,2669,9462.75,189665,25836,1585,13.62,3.55
YouTube,3062,9422.03,310603,21629,4699,6.96,3.08
Google,849,2281.93,236548,5909,3679,2.5,2.69
Meta,2656,9922.48,108773,31435,3401,28.9,3.74
Instagram,1092,5571.43,343257,49976,3887,14.56,5.1
Email,1412,6919.99,468126,31414,3352,6.71,4.9
Pinterest,1149,2721.17,126141,16714,1996,13.25,2.37
Pinterest,1895,4285.5,248866,17542,3866,7.05,2.26
Google,1728,10047.19,332127,18563,1664,5.59,5.81
TikTok,3775,11513.51,46617,25765,1055,55.27,3.05
TikTok,3189,15045.27,438045,24281,1468,5.54,4.72
TikTok,830,4119.21,426325,1047,1459,0.25,4.96
Meta,3018,11753.95,131156,6355,1455,4.85,3.89
Google,3887,20446.36,343089,34061,2021,9.93,5.26
Snapchat,1060,3392.97,300878,43923,2446,14.6,3.2
LinkedIn,2179,9370.33,295772,17254,71,5.83,4.3
Meta,2473,5125.17,252915,27832,2177,11.0,2.07
TikTok,1388,4576.65,230965,32635,2981,14.13,3.3
LinkedIn,987,5565.29,469944,37063,1799,7.89,5.64
TikTok,4145,23414.09,79359,2951,3938,3.72,5.65
LinkedIn,1558,4534.82,158376,31870,3919,20.12,2.91
YouTube,4727,16155.76,210319,32643,4907,15.52,3.42
Meta,4502,24322.07,484252,49401,4358,10.2,5.4
Pinterest,2171,8713.15,73676,35027,69,47.54,4.01
Email,869,3107.6,381725,11238,653,2.94,3.58
TikTok,1336,5811.09,266772,43295,4048,16.23,4.35
TikTok,4341,15996.12,297049,24225,303,8.16,3.68
Snapchat,2698,11526.48,266507,15196,893,5.7,4.27
YouTube,1924,6593.99,27944,37557,1074,134.4,3.43
Instagram,4629,9822.0,130553,12296,4291,9.42,2.12
Instagram,947,3006.51,258693,2001,500,0.77,3.17
Meta,3571,11645.09,115842,9680,1635,8.36,3.26
TikTok,3540,14889.84,48865,14310,4624,29.28,4.21
Instagram,4910,12097.41,10258,37033,4468,361.02,2.46
Instagram,1745,4621.78,182151,31491,4241,17.29,2.65
Pinterest,4832,21428.02,209772,5669,144,2.7,4.43
Twitter,1064,4094.32,120900,30637,1138,25.34,3.85
TikTok,3756,10064.22,105579,14852,2352,14.07,2.68
LinkedIn,4704,21626.79,123017,34786,65,28.28,4.6
Meta,4359,10654.43,261044,11356,2845,4.35,2.44
Email,2058,12222.85,207480,41724,3005,20.11,5.94
Pinterest,4509,19579.26,176573,7001,2721,3.96,4.34
Instagram,1915,6500.73,423999,2752,4099,0.65,3.39
Snapchat,2443,13996.1,357111,29417,4719,8.24,5.73
Pinterest,4544,26736.91,321683,12424,4487,3.86,5.88
Email,3962,15068.18,160785,14448,4758,8.99,3.8
LinkedIn,3690,12079.12,409700,44650,155,10.9,3.27
Snapchat,1593,4391.68,169851,44582,3710,26.25,2.76
Meta,3409,19141.38,193581,43332,1392,22.38,5.61
Email,4185,10536.64,31644,16617,1313,52.51,2.52
YouTube,3154,15999.24,333185,7378,4355,2.21,5.07
Pinterest,2195,12916.75,78775,28237,2741,35.85,5.88
Twitter,3040,6803.21,228822,16434,2054,7.18,2.24
Snapchat,3609,8742.53,325255,49486,1612,15.21,2.42
TikTok,3696,11907.54,362419,48197,997,13.3,3.22
